Customer ID,Cluster,Order Value (1–3),Churn Probability (%),Expected Loss Score (%),Expected Loss (%)
CUS000419,2,2,96.6,47.4,64.4
CUS000420,2,3,7.5,15.2,7.5
CUS000421,2,2,0.7,3.1,0.5
CUS000422,2,1,99.7,0.0,33.2
CUS000423,2,1,92.2,0.0,30.7
CUS000426,2,2,34.9,27.5,23.2
CUS000427,2,2,29.4,19.4,19.6
CUS000428,2,3,91.3,90.1,91.3
CUS000430,2,3,96.8,95.9,96.8
CUS000433,2,3,92.9,92.5,92.9
CUS000435,2,3,60.4,68.6,60.4
CUS000437,2,3,59.5,64.4,59.5
CUS000439,2,2,97.9,47.5,65.3
CUS000441,2,2,99.5,48.2,66.3
CUS000444,2,3,13.6,36.0,13.6
CUS000446,2,3,99.5,99.3,99.5
CUS000447,2,1,84.9,0.0,28.3
CUS000451,2,1,98.0,0.0,32.7
CUS000452,2,3,0.2,1.3,0.2
CUS000455,2,2,87.6,39.8,58.4
CUS000458,2,2,84.6,44.2,56.4
CUS000460,2,3,13.4,41.3,13.4
CUS000463,2,3,1.3,6.4,1.3
CUS000464,2,3,83.7,79.7,83.7
CUS000466,2,3,99.9,98.0,99.9
CUS000467,2,2,89.5,44.1,59.6
CUS000468,2,1,99.6,0.0,33.2
CUS000481,2,3,88.5,86.1,88.5
CUS000483,2,1,94.0,0.0,31.3
CUS000486,2,3,51.3,43.9,51.3
CUS000488,2,3,2.8,17.9,2.8
CUS000490,2,2,83.3,32.5,55.5
CUS000491,2,3,38.4,58.2,38.4
CUS000492,2,1,100.0,0.0,33.3
CUS000493,2,3,82.1,96.0,82.1
CUS000494,2,2,96.3,40.7,64.2
CUS000495,2,3,99.4,98.9,99.4
CUS000496,2,3,88.7,91.8,88.7
CUS000497,2,3,85.3,77.3,85.3
